"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 10","Inside","Drama","","$5,000",""
"","Jackie Chan’s First Strike","Action","","$14,601,662",""
"","The Relic","Horror","$60,000,000","$33,956,608",""
"","Turbulence","Thriller/Suspense","$55,000,000","$11,532,774",""
"January 12","The Call of the Wild: Dog of the Yukon","Adventure","","$5,000",""
"January 17","Albino Alligator","Drama","$5,000,000","$353,480",""
"","Beverly Hills Ninja","Comedy","","$31,245,344",""
"","Metro","Action","","$32,017,895",""
"January 24","Fierce Creatures","Comedy","","$9,254,184",""
"","Kolya","Comedy","","$5,770,254",""
"","Prefontaine","Drama","$8,000,000","$590,817",""
"","Zeus and Roxanne","Comedy","","$7,183,046",""
"January 29","Gridlock'd","Black Comedy","","$5,573,929",""
"January 31","Johns","","","$177,605",""
"","Meet Wally Sparks","Comedy","","$4,073,582",""
"","Prisoner of the Mountains","Drama","","$790,078",""
"","Shadow Conspiracy","Thriller/Suspense","$45,000,000","$2,154,540",""
"","Waiting for Guffman","Comedy","$4,000,000","$2,922,988",""
"February 7","The Beautician and the Beast","Romantic Comedy","","$11,486,880",""
"","Dante's Peak","Drama","$115,000,000","$67,163,857",""
"","Hotel de Love","","","$152,720",""
"","Margaret's Museum","Drama","","$524,963",""
"","The Pest","Comedy","","$3,533,790",""
"","SubUrbia","Comedy","","$726,207",""
"February 9","Frankenstein and Me","","","$5,000",""
"February 12","Dangerous Ground","Thriller/Suspense","","$5,102,151",""
"February 14","Absolute Power","Thriller/Suspense","$50,000,000","$50,068,310",""
"","Fools Rush In","Romantic Comedy","","$29,299,524",""
"","That Darn Cat","Comedy","","$18,301,828",""
"","Touch","","","$408,097",""
"","Unforgotten: Twenty-Five Years After Willowbrook","","","$5,000",""
"","Unhook the Stars","","","$301,888",""
"","Vegas Vacation","Comedy","","$36,470,465",""
"February 19","Once Upon a Time in the West","Western","","$0",""
"February 21","Blood and Wine","Thriller/Suspense","$26,000,000","$1,083,350",""
"","Lost Highway","Thriller/Suspense","","$3,796,699",""
"","Rosewood","Drama","","$13,104,494",""
"February 25","Darkman III: Die Darkman Die","Thriller/Suspense","","$0",""
"February 26","Booty Call","Comedy","","$20,066,917",""
"February 28","Donnie Brasco","Drama","$35,000,000","$41,954,997",""
"","Follow Me Home","","","$5,000",""
"","Hard Eight","Drama","","$142,356",""
"","Kama Sutra","Drama","$3,000,000","$4,109,095",""
"","Smilla's Sense of Snow","Thriller/Suspense","$35,000,000","$2,221,994",""
"March 5","The Daytrippers","Romantic Comedy","","$2,096,256",""
"","Rhyme & Reason","Documentary","","$1,591,687",""
"","The Watermelon Woman","Drama","$300,000","$42,735",""
"March 7","Boys Life 2","Drama","","$479,504",""
"","Good Luck","","","$39,962",""
"","Jerusalem","","","$5,000",""
"","Jungle 2 Jungle","Comedy","","$59,925,026",""
"","Private Parts","Comedy","","$41,198,146",""
"March 14","City of Industry","Drama","","$1,554,338",""
"","Drunks","Drama","","$5,000",""
"","J'en Suis","","","$510,977",""
"","Love Jones","Drama","$10,000,000","$12,554,569",""
"","Ponette","Drama","","$1,351,319",""
"","The Substance of Fire","","","$31,638",""
"March 21","Liar Liar","Comedy","$45,000,000","$181,410,615",""
"","Selena","Drama","$20,000,000","$35,450,113",""
"March 26","Cats Don't Dance","Musical","$32,000,000","$3,588,602",""
"","The Devil's Own","Thriller/Suspense","$90,000,000","$42,885,593",""
"March 28","B*A*P*S","Comedy","","$7,246,735",""
"","Le Plus Beau Metier du Monde","","","$23,862",""
"","Love and Other Catastrophes","Comedy","$250,000","$212,285",""
"","The Sixth Man","Comedy","","$14,765,099",""
"","Turbo: A Power Rangers Movie","Action","","$8,363,899",""
"April 4","Anna Karenina","Drama","","$858,553",""
"","Chasing Amy","Romantic Comedy","$250,000","$12,006,514",""
"","Double Team","Action","","$11,328,565",""
"","Inventing the Abbots","Drama","","$5,926,128",""
"","The Saint","Action","$90,000,000","$61,363,304",""
"","That Old Feeling","Romantic Comedy","","$16,408,534",""
"April 9","Schizopolis","Comedy","","$250,000",""
"April 11","Anaconda","Horror","$45,000,000","$65,598,907",""
"","Cadillac Ranch","Adventure","","$5,000",""
"","Grind","","","$5,000",""
"","Grosse Pointe Blank","Black Comedy","$15,000,000","$28,084,357",""
"","Keys to Tulsa","","","$57,252",""
"","Kissed","","","$465,417",""
"","Paradise Road","Drama","","$1,990,257",""
"","Pink Flamingos","","$12,000","$413,802",""
"April 18","8 Heads in a Duffel Bag","Black Comedy","$3,000,000","$3,602,884",""
"","Hollow Reed","","","$244,337",""
"","McHale's Navy","Comedy","$42,000,000","$4,408,420",""
"","Murder at 1600","Thriller/Suspense","","$25,842,024",""
"","Traveller","","","$500,649",""
