"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Brenda Starr","","","$67,878",""
"","Freddie as F.R.O.7","","","$1,000,000",""
"","Guncrazy","","","$114,000",""
"","Highway to Hell","","","$26,000",""
"","In the Soup","","","$256,000",""
"","Inside Monkey Zetterland","","","$121,000",""
"","Little Nemo: Adventures in Slumberland","","","$1,368,210",""
"","Love Field","","","$1,949,148",""
"","Mistress","Comedy","","$1,102,469",""
"","No Place to Hide","","","$135,000",""
"","The Opposite Sex and How to Live with Them","","","$690,000",""
"","Orlando","Drama","","$5,737,353",""
"","The Power of One","Drama","","$2,827,107",""
"","Rain Without Thunder","","","$5,000",""
"","Roadside Prophets","","","$147,724",""
"","Romper Stomper","","","$175,340",""
"","Ruby","","","$919,286",""
"","There Goes the Neighborhood","Comedy","","$11,000",""
"","This is My Life","","","$2,922,094",""
"","Turtle Beach","","","$778,535",""
"","Under Suspicion","","","$221,295",""
"","The Vagrant","","","$5,000",""
"","Year of the Comet","","","$2,791,515",""
"January 3","Daughters of the Dust","Drama","","$1,701,575",""
"January 10","The Hand That Rocks the Cradle","Thriller/Suspense","","$88,036,683",""
"","Kuffs","Action","","$19,618,135",""
"January 17","Freejack","Action","","$17,033,142",""
"","Juice","Drama","","$20,146,800",""
"January 24","Love Crimes","","","$2,320,217",""
"January 31","Hard Promises","Romantic Comedy","","$306,319",""
"","Shining Through","Thriller/Suspense","","$21,733,781",""
"February 1","Stop! Or My Mom Will Shoot","Comedy","","$28,411,000",""
"February 4","Hometown Story","","","$0",""
"February 5","Mississippi Masala","Drama","","$7,308,786",""
"February 7","Final Analysis","Thriller/Suspense","","$28,590,665",""
"","Medicine Man","Drama","$40,000,000","$44,948,240",""
"February 14","Wayne's World","Comedy","$20,000,000","$121,697,323",""
"February 21","Radio Flyer","Drama","$35,000,000","$4,651,977",""
"February 28","Gate II","","","$2,032,973",""
"","The Mambo Kings","Drama","","$6,698,607",""
"","Memoirs of an Invisible Man","Comedy","$40,000,000","$14,358,033",""
"March 1","Holiday Inn","Musical","","$0",""
"","Night on Earth","","","$2,015,000",""
"","Shakes the Clown","Black Comedy","","$115,103",""
"March 6","Blame it on the Bellboy","Comedy","","$2,891,055",""
"","Gladiator","Action","","$8,205,703",""
"","The Lawnmower Man","Action","$10,000,000","$32,100,816",""
"","Once Upon a Crime…","Comedy","","$8,669,847",""
"March 13","American Me","Drama","","$11,318,100",""
"","Article 99","Drama","","$6,281,089",""
"","Da hong deng long gao gao gua","Drama","","$2,603,061",""
"","Howards End","Drama","$8,000,000","$26,124,872",""
"","My Cousin Vinny","Comedy","$11,000,000","$52,929,168",""
"March 20","Basic Instinct","Thriller/Suspense","","$117,727,224",""
"","Noises Off...","Comedy","","$2,280,148",""
"","Shadows and Fog","Comedy","","$2,735,731",""
"March 25","Mediterraneo","","","$4,044,228",""
"March 27","The Cutting Edge","Drama","","$23,131,735",""
"","Ladybugs","Comedy","","$14,796,494",""
"","White Men Can't Jump","Comedy","","$76,253,806",""
"April 1","Everybody Sing","Multiple Genres","","$0",""
"","Rock-a-Doodle","Adventure","","$11,657,385",""
"","Thunderheart","Thriller/Suspense","","$22,660,758",""
"April 3","Beethoven","Comedy","","$56,979,478",""
"","Delicatessen","Comedy","","$1,794,187",""
"","Straight Talk","Comedy","","$21,202,099",""
"April 8","Newsies","","","$2,706,352",""
"April 10","Ferngully… The Last Rainforest","Adventure","","$21,111,825",""
"","The Player","Black Comedy","$8,000,000","$21,706,101",""
"","Sleepwalkers","Horror","","$30,524,763",""
"April 15","City of Joy","Drama","","$14,371,061",""
"","Deep Cover","Action","","$16,639,799",""
"April 17","The Babe","Drama","","$17,064,550",""
"","Brain Donors","Comedy","","$860,365",""
"April 22","The Playboys","","","$4,906,900",""
"April 24","A Midnight Clear","","","$1,526,697",""
"","Passed Away","","","$4,030,793",""
"","White Sands","Thriller/Suspense","","$9,011,574",""
"May 1","Folks!","Comedy","","$5,906,300",""
"","K2","Drama","","$3,042,892",""
"","Leaving Normal","","","$1,361,232",""
"","Split Second","Action","$7,000,000","$5,430,822",""
"May 8","Crisscross","","","$2,717,764",""
"","Poison Ivy","Thriller/Suspense","","$1,829,804",""
"","Wild Orchid II: Two Shades of Blue","Drama","","$573,904",""
"May 13","The Waterdance","","","$1,723,319",""
