"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Higher Ed","","","$0",""
"","Ikiru","","","$55,240",""
"","The Last Minute","","","$0",""
"","To End All Wars","Drama","","$0",""
"January 10","Just Married","Romantic Comedy","$19,000,000","$56,127,162",""
"","Le Cercle rouge","Thriller/Suspense","","$372,229",""
"","The Slaughter Rule","","$500,000","$13,134",""
"","The Son","","","$70,034",""
"January 15","The Settlers","","","$10,592",""
"January 17","7th Street","Documentary","","$15,629",""
"","Cidade de Deus","Drama","$3,300,000","$7,563,397",""
"","Da wan","Comedy","","$646",""
"","Divine Intervention","","","$421,187",""
"","A Guy Thing","Romantic Comedy","$20,000,000","$15,543,862",""
"","Kangaroo Jack","Comedy","$60,000,000","$66,723,216",""
"","Kira's Reason: A Love Story","","","$4,488",""
"","National Security","Action","","$36,288,951",""
"","P.S. Your Cat is Dead","","","$27,823",""
"January 21","Invisible Ghost","","","$0",""
"January 24","Amen","Drama","$14,000,000","$274,299",""
"","The Brave One","Drama","","$0",""
"","Darkness Falls","Horror","$7,000,000","$32,539,681",""
"","Dil Ka Rishta","","","$345,649",""
"","Dum","","","$101,000",""
"","Im Toten Winkel - Hitlers Sekretärin","Documentary","","$376,886",""
"","In the Mirror of Maya Deren","","","$6,015",""
"","Super Sucker Sucker","","","$137,650",""
"January 31","Biker Boyz","Action","","$21,908,034",""
"","Chaos","Comedy","","$204,274",""
"","Final Destination 2","Horror","$26,000,000","$46,896,664",""
"","The Guru","Comedy","$11,000,000","$3,051,221",""
"","Khushi","","","$305,205",""
"","L'Chayim, Comrade Stalin!","","","$3,480",""
"","Lost in La Mancha","Documentary","","$734,514",""
"","The R.M.","Comedy","$500,000","$1,111,615",""
"","The Recruit","Thriller/Suspense","","$52,784,696",""
"February 4","Jackie Chan: Gen-Y Cops","Action","","$0",""
"February 7","Comment Ma Mere Accoucha de Moi Durant","","","$300,000",""
"","Deliver Us From Eva","Romantic Comedy","","$17,573,594",""
"","How to Lose a Guy in 10 Days","Romantic Comedy","$50,000,000","$105,807,520",""
"","Kedma","","","$8,963",""
"","May","","$1,750,000","$145,540",""
"","Shanghai Knights","Adventure","$50,000,000","$60,470,220",""
"","Zus & Zo","","","$49,468",""
"February 11","Ocean Wonderland","Documentary","","$0",""
"February 12","Stone Reader","","","$257,616",""
"February 14","à la folie... pas du tout","Thriller/Suspense","","$1,009,827",""
"","All the Real Girls","Drama","$1,000,000","$549,666",""
"","Chinwaseon","Drama","","$8,196",""
"","Daredevil","Action","$80,000,000","$102,543,518",""
"","Fassbinder","","","$160,854",""
"","Gerry","Drama","$7,000,000","$254,683",""
"","The Jungle Book 2","Adventure","$20,000,000","$47,901,582",""
"","Lockdown","","","$449,482",""
"","Love at Times Square","","","$0",""
"","Ordinary Sinner","","","$3,072",""
"","Painted Fire (Chi-Hwa-Seon)","","","$59,413",""
"February 19","The Ballad of Bering Strait","Documentary","","$1,440",""
"February 21","Amandla! A Revolution in Four Part Harmony","Documentary","","$405,331",""
"","Dark Blue","Drama","$15,000,000","$9,237,470",""
"","A Family Affair","","","$50,075",""
"","Gods and Generals","Drama","$55,000,000","$12,882,934",""
"","Jet Lag","","","$250,000",""
"","The Lawless Heart","","","$330,067",""
"","The Life of David Gale","Thriller/Suspense","$50,000,000","$19,694,635",""
"","The Navigators","","","$1,940",""
"","Old School","Comedy","$24,000,000","$75,155,000",""
"","Open Hearts","","","$135,990",""
"","Senorita Extraviada","","","$3,775",""
"","Till Human Voices Wake Us","Drama","","$120,601",""
"February 26","Bolivia","Drama","","$26,272",""
"February 28","Cradle 2 the Grave","Action","$25,000,000","$34,657,731",""
"","Dischord","","","$0",""
"","Help! I'm a Fish","","","$473,477",""
"","Poolhall Junkies","Drama","$4,000,000","$563,711",""
"","The Scoundrel's Wife","","","$0",""
"","Spider","Drama","$10,000,000","$1,641,788",""
"March 4","The Day the Earth Stood Still","","$1,200,000","$3,700,000",""
"March 5","Ten","","","$105,656",""
"March 6","Australia: Land Beyond Time","Documentary","","$0",""
"March 7","Bringing Down the House","Comedy","$20,000,000","$132,675,402",""
"","Irreversible","Drama","$5,400,000","$792,200",""
"","Laurel Canyon","Drama","","$3,663,356",""
"","Nowhere in Africa","Drama","$6,500,000","$6,173,485",""
"","The Safety of Objects","","","$319,125",""
"","Tears of the Sun","Action","$75,000,000","$43,632,458",""
"March 12","Bend it Like Beckham","Drama","$5,600,000","$32,543,449",""
"March 14","Agent Cody Banks","Comedy","$25,000,000","$47,545,060",""
"","Bugs!","Documentary","","$19,084,280",""
"","The Hunted","Action","$55,000,000","$34,234,008",""
"","Journey With George","","","$2,264",""
"","Spun","","$4,500,000","$410,241",""
"","Under the Skin of the City (Zie-e Poost-e Shahr)","","","$28,757",""
"","Willard","Horror","$20,000,000","$6,882,696",""
"March 18","Happiest Baby on the Block, The - The New Way to Calm Crying and Help Your Baby Sleep Longer","Instructional","","$0",""
"March 19","Japon","","","$21,900",""
"March 20","Full Time Killers","","","$14,992",""
"March 21","Boat Trip","Comedy","$15,000,000","$8,586,376",""
"","Down & Out with the Dolls","","$1,200,000","$58,936",""
"","Dreamcatcher","Drama","$68,000,000","$33,685,268",""
"","Gaudi Afternoon","","","$3,838",""
"","The Girl From Paris","","","$183,266",""
"","L'auberge espagnole","Comedy","$5,900,000","$3,895,664",""
"","Piglet's Big Movie","Comedy","","$23,103,423",""
"","View from the Top","Comedy","","$15,614,000",""
"March 26","Unknown Pleasures (Ren Xiao Yao)","","","$9,776",""
"March 28","Assassination Tango","Drama","","$1,000,673",""
"","Basic","Thriller/Suspense","$50,000,000","$26,599,248",""
"","Blue Collar Comedy Tour: The Movie","Comedy","","$0",""
"","The Core","Action","$85,000,000","$31,111,260",""
"","Ek Aur Ek Gyarah","Comedy","","$132,498",""
"","The Good Old Naughty Days","","","$60,852",""
"","Head of State","Comedy","$35,200,000","$37,788,228",""
"","Raising Victor Vargas","Drama","$800,000","$2,073,984",""
"","Stevie","Documentary","","$97,044",""
"April 2","Fellini: Sono un Gran Bugiardo","Documentary","","$106,080",""
"","The Good Thief","Drama","$30,000,000","$3,517,797",""
"April 4","Cet amour-là","Drama","","$72,036",""
"","Cowboy Bebop","Adventure","","$999,435",""
"","DysFunkTional Family","Documentary","$3,000,000","$2,255,000",""
"","The Guys","","","$16,068",""
"","Levity","","","$209,151",""
"","A Man Apart","Action","$36,000,000","$26,500,000",""
"","The Man Without a Past","Comedy","","$921,547",""
"","Phone Booth","Thriller/Suspense","$11,000,000","$46,566,212",""
"","Waiting for Happiness (Heremakono)","","","$6,417",""
"","What a Girl Wants","Comedy","$25,000,000","$35,990,505",""
"April 11","Anger Management","Comedy","$56,000,000","$135,560,942",""
"","Better Luck Tomorrow","Drama","$250,000","$3,802,390",""
"","Ghosts of the Abyss","Documentary","","$17,093,668",""
"","The Hero","","","$285,394",""
"","House of 1,000 Corpses","Horror","$7,000,000","$12,634,962",""
"","Marion Bridge","","","$0",""
"","XX/XY","","","$103,874",""
"","The Young Unknowns","","$800,000","$58,163",""
"April 16","Bulletproof Monk","Action","$52,000,000","$23,010,607",""
"","Chasing Papi","Comedy","$9,000,000","$6,126,237",""
"","A Mighty Wind","Comedy","$6,000,000","$17,583,468",""
"","Shark Skin Man and Peach Hips Girl","","","$0",""
"April 18","Holes","Drama","$20,000,000","$67,383,924",""
"","Lilja 4-ever","Drama","$4,500,000","$181,655",""
"","Malibu's Most Wanted","Comedy","$15,000,000","$34,308,901",""
"","Venus & Mars","","","$0",""
"","Winged Migration","Documentary","$28,000,000","$11,689,053",""
"April 25","City of Ghosts","Drama","$17,500,000","$325,491",""
"","Confidence","Drama","$15,000,000","$12,212,417",""
"","Cremaster 3","Drama","","$514,622",""
