"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Timerider: The Adventure of Lyle Swann","","","$6,000,000",NA,"1982"
"January 15","The Boogens","Horror","","$4,000,000",NA,"1982"
"","Jaws of Satan","","","$0",NA,"1982"
"January 22","The Seduction","Thriller/Suspense","","$4,888,270",NA,"1982"
"","Shoot the Moon","Drama","","$8,100,000",NA,"1982"
"","A Stranger is Watching","","","$481,088",NA,"1982"
"","Vice Squad","Action","","$5,568,880",NA,"1982"
"January 29","The Border","Drama","$13,500,000","$6,118,683",NA,"1982"
"","Venom","Horror","","$4,117,958",NA,"1982"
"February 5","Night Crossing","Drama","","$4,500,000",NA,"1982"
"","Personal Best","Drama","","$2,119,003",NA,"1982"
"February 10","Das Boot","Drama","$12,000,000","$11,487,676",NA,"1982"
"February 12","The Amateur","Thriller/Suspense","","$2,358,271",NA,"1982"
"","The Beast Within","Horror","","$4,000,000",NA,"1982"
"","Cannery Row","Comedy","","$2,638,311",NA,"1982"
"","La Guerre du feu","Adventure","$12,500,000","$20,959,585",NA,"1982"
"","Love and Money","","","$0",NA,"1982"
"","Making Love","Drama","","$11,897,978",NA,"1982"
"","Missing","Thriller/Suspense","","$16,000,000",NA,"1982"
"","One From the Heart","Drama","","$1,000,000",NA,"1982"
"February 19","Death Wish II","Action","","$16,100,000",NA,"1982"
"","Three Brothers","","","$0",NA,"1982"
"March 5","Evil Under the Sun","Thriller/Suspense","","$4,659,287",NA,"1982"
"","I'm Dancing as Fast as I Can","","","$0",NA,"1982"
"","Weavers: Wasn't That a Time","Documentary","","$0",NA,"1982"
"March 12","Richard Pryor Live on the Sunset Strip","Concert/Performance","","$34,970,309",NA,"1982"
"March 19","Deathtrap","Comedy","","$19,282,000",NA,"1982"
"","Porky's","Comedy","$4,000,000","$109,492,484",NA,"1982"
"","Victor/Victoria","Musical","","$22,524,614",NA,"1982"
"March 22","Mephisto","","","$0",NA,"1982"
"March 26","The Beach Girls","Comedy","","$20,418,789",NA,"1982"
"","Diva","Thriller/Suspense","","$2,678,103",NA,"1982"
"","I Ought to be in Pictures","Comedy","","$6,968,359",NA,"1982"
"April 2","Cat People","Drama","$12,500,000","$7,000,000",NA,"1982"
"","Diner","Comedy","$5,000,000","$12,592,907",NA,"1982"
"","A Little Sex","Romantic Comedy","","$2,370,376",NA,"1982"
