"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 2","Interior. Leather Bar.","Drama","","$40,862",""
"January 3","In No Great Hurry: 13 Lessons in Life with Saul Leiter","Documentary","","$12,133",""
"","Le metis de Dieu","Drama","","$133,672",""
"","La migiliore offerta","Drama","","$88,719",""
"","Open Grave","Horror","","$0",""
"","Paranormal Activity: The Marked Ones","Horror","$5,000,000","$32,462,372","Play"
"January 6","Ai Weiwei: The Fake Case","Documentary","","$57,322",""
"January 7","Bu er shen tan","Action","","$0",""
"","Hidden Away","Thriller/Suspense","$1,000,000","$0",""
"","Kumonosu","Drama","","$0",""
"","UFC Presents Ronda Rousey: Breaking Ground","Documentary","","$0",""
"","The Virginian","Western","","$0",""
"January 9","Tarzan","Adventure","","$0",""
"January 10","Banshee Chapter","Thriller/Suspense","$950,000","$0",""
"","Black Coffee","Romantic Comedy","","$0",""
"","Cold Comes the Night","Thriller/Suspense","","$0",""
"","Divorce Corp","Documentary","","$0",""
"","Dumbbells","Comedy","","$0",""
"","Grzeli nateli dgeebi","Drama","","$56,092",""
"","If You Build It","Documentary","","$43,393",""
"","The Legend of Hercules","Adventure","$70,000,000","$18,848,538","Play"
"","Loves Her Gun","Drama","","$0",""
"","The Adventurer: The Curse of the Midas Box","Adventure","$25,000,000","$0",""
"","Raze","Action","","$3,453",""
"","Return to Nuke 'Em High Volume 1","Black Comedy","","$4,790",""
"","The Rocket","Drama","","$56,823",""
"","Truth (2013)","Thriller/Suspense","","$1,626",""
"","The Truth About Emanuel","Drama","","$4,404",""
"January 11","G.B.F.","Comedy","","$0",""
"January 14","Ambush At Dark Canyon","Western","","$0",""
"","The Contradictions of Fair Hope","","","$0",""
"","Four","Drama","","$0",""
"","Fresh Meat","Black Comedy","","$0",""
"","Gasland Part II","Documentary","","$0",""
"","Marvel Knights: Wolverine Vs. Sabretooth","Action","","$0",""
"","Rewind This!","Documentary","","$0",""
"","Du rififi chez les hommes","Thriller/Suspense","","$57,749",""
"","Run","Thriller/Suspense","","$0",""
"","Sunrise","Drama","","$0",""
"","WWE Tables, Ladders & Chairs 2013","","","$0",""
"January 15","Unsere Mutter, unsere Vater","Drama","","$91,595",""
"January 17","Amercian Mustang","Documentary","","$48,218",""
"","Back in the Day","Comedy","","$0",""
"","Big Bad Wolves","Thriller/Suspense","","$32,828",""
"","Devil's Due","Horror","$7,000,000","$15,821,461","Play"
"","Freezer","Thriller/Suspense","","$0",""
"","Indigo Children","Drama","","$0",""
"","Jack Ryan: Shadow Recruit","Action","$60,000,000","$50,577,412","Play"
"","Jamesy Boy","Drama","","$0",""
"","Karle Pyaar Karle","Drama","","$0",""
"","Life of a King","Drama","","$4,304",""
"","O Menino e o Mundo","Adventure","","$129,479",""
"","Ming tian ji de ai shang wo","Comedy","","$0",""
"","The Nut Job","Adventure","$30,000,000","$64,251,538","Play"
"","Reasonable Doubt","Thriller/Suspense","","$0",""
"","Ride Along","Comedy","$25,000,000","$134,202,565","Play"
"","Summer in February","Drama","","$1,624",""
"January 18","Ano hi mita hana no namae wo bokutachi wa mada shiranai","Drama","","$0",""
"January 19","The Republic of Rick","Comedy","","$0",""
"January 21","Cloud 9","Adventure","","$0",""
"","Dead Weight","Horror","","$0",""
"","Die, Monster, Die","Horror","","$0",""
"","The Doors: R-Evolution","Documentary","","$0",""
"","Knights of Badassdom","Comedy","","$113,531",""
"","Never Sleep Again: The Elm Street Legacy","Documentary","","$0",""
"","Old Goats","Comedy","","$0",""
"","La vie de boheme","","","$0",""
"January 24","24 Exposures","Thriller/Suspense","","$0",""
"","Aatsinke: The Story of Arctic Cowboys","Documentary","","$0",""
"","Chong fan 20 sui","Comedy","","$0",""
"","Enemies Closer","Thriller/Suspense","","$0",""
"","Gimme Shelter","Drama","","$1,359,910",""
"","Gloria","Drama","","$2,110,357",""
"","I, Frankenstein","Action","$65,000,000","$19,075,290","Play"
"","Jai Ho","Action","","$1,187,266",""
"","Mercedes Sosa: La voz de Latinoamerica","Documentary","","$2,648",""
"","Papirosen","Documentary","","$0",""
"","Run & Jump","Drama","","$11,805",""
"","Visitors","Documentary","","$81,470",""
"January 28","1","Documentary","","$0",""
"","Bonnie & Clyde","Drama","","$0",""
"","Collision","Thriller/Suspense","","$0",""
"","Dr. Jekyll and Mr. Hyde","Horror","","$0",""
"","Mega Shark vs. Mecha Shark","","","$0",""
"","Penguins: Spy in the Huddle","Documentary","","$0",""
"","The War Between Men and Women","Romantic Comedy","","$0",""
"January 29","Charlie Victor Romeo","Documentary","","$0",""
"January 31","12 O'Clock Boys","Documentary","","$80,030",""
"","2014 Oscar Shorts","Multiple Genres","","$2,357,890",""
"","Ao men feng yun","Drama","","$0",""
"","Best Night Ever","Comedy","","$0",""
"","Brightest Star","Romantic Comedy","","$0",""
"","California Scheming","Thriller/Suspense","","$0",""
"","Labor Day","Drama","$18,000,000","$13,371,528","Play"
"","At Middleton","Drama","","$53,837",""
