"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 10","Inside","Drama","","$5,000","","1997"
"","Jackie Chan’s First Strike","Action","","$14,601,662","","1997"
"","The Relic","Horror","$60,000,000","$33,956,608","","1997"
"","Turbulence","Thriller/Suspense","$55,000,000","$11,532,774","","1997"
"January 12","The Call of the Wild: Dog of the Yukon","Adventure","","$5,000","","1997"
"January 17","Albino Alligator","Drama","$5,000,000","$353,480","","1997"
"","Beverly Hills Ninja","Comedy","","$31,245,344","","1997"
"","Metro","Action","","$32,017,895","","1997"
"January 24","Fierce Creatures","Comedy","","$9,254,184","","1997"
"","Kolya","Comedy","","$5,770,254","","1997"
"","Prefontaine","Drama","$8,000,000","$590,817","","1997"
"","Zeus and Roxanne","Comedy","","$7,183,046","","1997"
"January 29","Gridlock'd","Black Comedy","","$5,573,929","","1997"
"January 31","Johns","","","$177,605","","1997"
"","Meet Wally Sparks","Comedy","","$4,073,582","","1997"
"","Prisoner of the Mountains","Drama","","$790,078","","1997"
"","Shadow Conspiracy","Thriller/Suspense","$45,000,000","$2,154,540","","1997"
"","Waiting for Guffman","Comedy","$4,000,000","$2,922,988","","1997"
"February 7","The Beautician and the Beast","Romantic Comedy","","$11,486,880","","1997"
"","Dante's Peak","Drama","$115,000,000","$67,163,857","","1997"
"","Hotel de Love","","","$152,720","","1997"
"","Margaret's Museum","Drama","","$524,963","","1997"
"","The Pest","Comedy","","$3,533,790","","1997"
"","SubUrbia","Comedy","","$726,207","","1997"
"February 9","Frankenstein and Me","","","$5,000","","1997"
"February 12","Dangerous Ground","Thriller/Suspense","","$5,102,151","","1997"
"February 14","Absolute Power","Thriller/Suspense","$50,000,000","$50,068,310","","1997"
"","Fools Rush In","Romantic Comedy","","$29,299,524","","1997"
"","That Darn Cat","Comedy","","$18,301,828","","1997"
"","Touch","","","$408,097","","1997"
"","Unforgotten: Twenty-Five Years After Willowbrook","","","$5,000","","1997"
"","Unhook the Stars","","","$301,888","","1997"
"","Vegas Vacation","Comedy","","$36,470,465","","1997"
"February 19","Once Upon a Time in the West","Western","","$0","","1997"
"February 21","Blood and Wine","Thriller/Suspense","$26,000,000","$1,083,350","","1997"
"","Lost Highway","Thriller/Suspense","","$3,796,699","","1997"
"","Rosewood","Drama","","$13,104,494","","1997"
"February 25","Darkman III: Die Darkman Die","Thriller/Suspense","","$0","","1997"
"February 26","Booty Call","Comedy","","$20,066,917","","1997"
