"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 5","Attention On Tourne!","","","$19,071","","2001"
"January 12","Antitrust","Thriller/Suspense","$30,000,000","$10,965,209","","2001"
"","Double Take","Action","$24,000,000","$29,823,162","","2001"
"","Extreme Force","","","$9,549","","2001"
"","Life Without Death","","","$7,811","","2001"
"","Luna Papa","","","$13,930","","2001"
"","The Personals","","","$12,646","","2001"
"","Pleure Pas Germaine","","","$9,011","","2001"
"","Save the Last Dance","Drama","$13,000,000","$91,038,276","","2001"
"January 19","The Amati Girls","Drama","","$47,767","","2001"
"","Drole de Felix","","","$3,331","","2001"
"","Kuch Kathi Kuch Meethi","","","$57,188","","2001"
"","Nationale 7","","","$25,076","","2001"
"","The Pledge","Drama","$45,000,000","$19,719,930","","2001"
"January 21","Les Rivières Pourpres","Drama","","$632,548","","2001"
"January 26","15 février 1839","Drama","","$640,790","","2001"
"","Escanaba in Da Moonlight","Comedy","","$2,276,406","","2001"
"","Faithless","Drama","","$734,597","","2001"
"","Forgive Me Father","Drama","","$580,462","","2001"
"","Geboren in Absurdistan","Comedy","","$976","","2001"
"","Goddess of 1967","","","$12,677","","2001"
"","The Legend of Rita","Drama","","$666,565","","2001"
"","Protection","Thriller/Suspense","","$666","","2001"
"","The Road to Park City","","","$1,216","","2001"
"","Sugar and Spice","Comedy","","$13,276,953","","2001"
"","Two Ninas","","","$10,976","","2001"
"","The Wedding Planner","Romantic Comedy","$28,000,000","$60,400,856","","2001"
"February 2","Une affaire de goût","Thriller/Suspense","","$48,602","","2001"
"","Amy","Comedy","","$7,880","","2001"
"","Come and See","","","$9,135","","2001"
"","Fever","","","$4,068","","2001"
"","Head Over Heels","Romantic Comedy","$14,000,000","$10,397,365","","2001"
"","In the Mood for Love","Drama","","$2,734,044","","2001"
"","Invisible Circus","","","$77,578","","2001"
"","Left Behind","Drama","$18,500,000","$4,221,341","","2001"
"","Libertin, Le","","","$31,300","","2001"
"","Merci Pour Le Chocolat","","","$443,238","","2001"
"","The Million Dollar Hotel","","","$52,526","","2001"
"","Nico and Dani","Drama","","$370,562","","2001"
"","The Perfect Son","","","$713","","2001"
