"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","Brain Dead","Horror","","$1,627,955",NA,"1990"
"","The Comfort of Strangers","","","$1,244,000",NA,"1990"
"","Convicts","","","$13,000",NA,"1990"
"","Daddy's Dyin'… Who's Got the Will?","","","$1,373,728",NA,"1990"
"","Def by Temptation","Horror","","$2,218,579",NA,"1990"
"","Don't Tell Her it's Me","","","$1,171,762",NA,"1990"
"","The End of Innocence","","","$115,000",NA,"1990"
"","Fools of Fortune","Drama","","$83,000",NA,"1990"
"","Frankenstein Unbound","","","$334,000",NA,"1990"
"","Life is Cheap… But Toilet Paper is Expensive","","","$108,392",NA,"1990"
"","Mister Frost","","","$32,000",NA,"1990"
"","Mister Johnson","","","$1,464,000",NA,"1990"
"","Prisoners of the Sun","","","$53,000",NA,"1990"
"","The Return of Superfly","","","$610,402",NA,"1990"
"","Shaking the Tree","","","$15,000",NA,"1990"
"","The Sheltering Sky","","","$2,075,084",NA,"1990"
"","The Spirit of '76","","","$52,000",NA,"1990"
"","Tune in Tomorrow","","","$1,794,000",NA,"1990"
"","Vincent & Theo","","","$2,231,274",NA,"1990"
"","White Hunter, Black Heart","Adventure","","$2,319,124",NA,"1990"
"","Why Me?","","","$84,000",NA,"1990"
"January 5","Henry: Portrait of a Serial Killer","","","$609,939",NA,"1990"
"January 12","Downtown","","","$2,205,486",NA,"1990"
"","Internal Affairs","Thriller/Suspense","","$27,661,878",NA,"1990"
"","Leatherface: Texas Chainsaw Massacre III","","","$5,697,588",NA,"1990"
"","Ski Patrol","","","$8,000,000",NA,"1990"
"January 19","Everybody Wins","","","$1,299,327",NA,"1990"
"","Streets","Action","","$808,730",NA,"1990"
"","Tremors","Action","$10,000,000","$16,667,084",NA,"1990"
"February 2","Flashback","Action","","$6,476,134",NA,"1990"
"","Heart Condition","Comedy","","$4,134,992",NA,"1990"
"","Men Don't Leave","Drama","","$6,050,018",NA,"1990"
"","Nuovo cinema Paradiso","Drama","","$11,985,152",NA,"1990"
"","Stella","Drama","","$20,062,347",NA,"1990"
"February 9","Hard To Kill","Action","","$47,381,386",NA,"1990"
"","The Haunting of Morella","Horror","","$599,951",NA,"1990"
"","Loose Cannons","Comedy","","$4,463,085",NA,"1990"
"","Stanley & Iris","Drama","","$5,820,015",NA,"1990"
"","Torrents of Spring","Drama","","$111,747",NA,"1990"
"February 16","Courage Mountain","","","$1,393,610",NA,"1990"
"","Madhouse","Comedy","","$20,438,179",NA,"1990"
"","Nightbreed","Horror","","$8,000,000",NA,"1990"
"","Revenge","Thriller/Suspense","","$15,535,771",NA,"1990"
"","The Witches","Horror","","$10,360,553",NA,"1990"
"February 23","The Blood of Heroes","Action","$7,700,000","$882,290",NA,"1990"
"","Mountains of the Moon","Adventure","","$4,011,793",NA,"1990"
"","Where the Heart Is","Comedy","","$1,106,475",NA,"1990"
"March 2","The Hunt for Red October","Thriller/Suspense","$30,000,000","$120,709,866",NA,"1990"
"March 9","Bad Influence","Drama","","$12,626,043",NA,"1990"
"","Body Chemistry","Thriller/Suspense","","$323,908",NA,"1990"
"","Coupe De Ville","Comedy","","$592,089",NA,"1990"
"","The Handmaid's Tale","Drama","","$4,960,385",NA,"1990"
"","House Party","Comedy","","$26,385,627",NA,"1990"
"","Joe Versus the Volcano","Comedy","","$39,381,963",NA,"1990"
"","The Last of the Finest","Action","","$1,395,694",NA,"1990"
"","Love at Large","Thriller/Suspense","","$1,214,295",NA,"1990"
"March 16","Blind Fury","Action","","$2,345,628",NA,"1990"
"","Blue Steel","Action","","$7,701,707",NA,"1990"
"","The Forbidden Dance","Drama","","$1,719,538",NA,"1990"
"","Lambada","Drama","","$4,248,622",NA,"1990"
"","Lord of the Flies","Adventure","","$13,812,230",NA,"1990"
"","Nuns on the Run","Comedy","","$10,959,015",NA,"1990"
"March 23","The Fourth War","Drama","","$1,232,285",NA,"1990"
"","Pretty Woman","Romantic Comedy","$14,000,000","$178,406,268",NA,"1990"
"","A Shock to the System","Comedy","","$3,417,056",NA,"1990"
"March 30","Opportunity Knocks","Comedy","","$11,359,129",NA,"1990"
"","Teenage Mutant Ninja Turtles","Adventure","$13,500,000","$135,265,915",NA,"1990"
"April 6","The Cook, The Thief, His Wife, and Her Lover","","","$7,407,995",NA,"1990"
"","Cry-Baby","Comedy","","$7,735,790",NA,"1990"
"","Ernest Goes to Jail","Comedy","","$25,029,569",NA,"1990"
"","The First Power","Horror","","$21,365,321",NA,"1990"
"","I Love You to Death","Comedy","","$15,600,149",NA,"1990"
"","Impulse","","","$2,531,528",NA,"1990"
"April 11","Crazy People","Comedy","","$13,204,459",NA,"1990"
"April 13","The Gods Must be Crazy II","Comedy","","$6,291,444",NA,"1990"
"","Vital Signs","","","$1,224,605",NA,"1990"
"April 18","Marked for Death","Action","","$43,224,499",NA,"1990"
"April 20","Chattahoochee","Drama","","$259,486",NA,"1990"
"","Lisa","Thriller/Suspense","","$4,067,725",NA,"1990"
"","Miami Blues","Thriller/Suspense","","$9,654,290",NA,"1990"
"April 27","The Guardian","Horror","","$16,140,440",NA,"1990"
"","Q & A","Thriller/Suspense","","$11,207,000",NA,"1990"
"","Spaced Invaders","Comedy","$3,000,000","$15,000,000",NA,"1990"
"","Wild Orchid","Drama","","$11,000,000",NA,"1990"
"May 1","¡Átame!","Drama","","$4,087,000",NA,"1990"
"May 4","Happy Together","Romantic Comedy","","$100,000",NA,"1990"
"","Last Exit to Brooklyn","","","$678,680",NA,"1990"
"","Short Time","Comedy","","$4,010,647",NA,"1990"
"","Tales from the Darkside: The Movie","Horror","","$16,324,573",NA,"1990"
"May 11","Class of 1999","Adventure","","$1,400,149",NA,"1990"
"","Far Out Man","","","$82,000",NA,"1990"
"","Longtime Companion","","","$4,609,953",NA,"1990"
"","A Show of Force","","","$145,075",NA,"1990"
